Elektroda,Delta,Theta,Alpha,Beta,Gamma
elektroda1,0.68,0.19,0.07,0.03,0.02
elektroda10,0.59,0.19,0.12,0.07,0.04
elektroda11,0.60,0.19,0.11,0.06,0.03
elektroda12,0.61,0.19,0.11,0.06,0.03
elektroda13,0.66,0.18,0.09,0.05,0.03
elektroda14,0.59,0.19,0.12,0.07,0.04
elektroda15,0.53,0.22,0.14,0.07,0.04
elektroda16,0.53,0.22,0.14,0.07,0.04
elektroda17,0.53,0.22,0.14,0.07,0.04
elektroda18,0.61,0.18,0.11,0.06,0.04
elektroda19,0.52,0.21,0.15,0.08,0.04
elektroda2,0.70,0.18,0.07,0.03,0.02
elektroda20,0.54,0.20,0.14,0.07,0.04
elektroda21,0.51,0.22,0.16,0.08,0.04
elektroda22,0.50,0.21,0.16,0.08,0.04
elektroda23,0.52,0.20,0.15,0.08,0.04
elektroda24,0.51,0.20,0.17,0.08,0.04
elektroda25,0.50,0.20,0.18,0.08,0.04
elektroda26,0.53,0.19,0.17,0.08,0.04
elektroda27,0.54,0.17,0.16,0.08,0.05
elektroda28,0.50,0.21,0.17,0.09,0.04
elektroda29,0.52,0.20,0.17,0.08,0.04
elektroda3,0.69,0.17,0.08,0.04,0.02
elektroda30,0.52,0.18,0.19,0.08,0.04
elektroda31,0.52,0.18,0.18,0.08,0.04
elektroda32,0.50,0.20,0.17,0.08,0.04
elektroda4,0.69,0.17,0.08,0.04,0.02
elektroda5,0.67,0.18,0.09,0.04,0.02
elektroda6,0.65,0.17,0.09,0.06,0.03
elektroda7,0.66,0.19,0.09,0.04,0.02
elektroda8,0.62,0.18,0.11,0.06,0.04
elektroda9,0.63,0.20,0.10,0.05,0.03
